id_redacao,total_sentencas,sentencas_introducao,sentencas_argumentacao,sentencas_conclusao,media_palavras_sentenca_com_sw,media_palavras_sentenca_sem_sw,total_paragrafos,paragrafos_introducao,paragrafos_argumentacao,paragrafos_conclusao,media_palavras_paragrafo_com_sw,media_palavras_paragrafo_sem_sw,projeto_texto,total_palavras_com_sw,palavras_unicas_com_sw,diversidade_lexical_com_sw,total_palavras_sem_sw,palavras_unicas_sem_sw,diversidade_lexical_sem_sw,n_verbos,n_substantivos,n_adjetivos,n_adverbios,n_preposicoes,n_auxiliares,n_conj_coordenadas,n_determinantes,n_pronomes,n_nomes_proprios,n_pontuacoes,n_conj_subordinadas,profundidade_media_sentencas,profundidade_minima_sentencas,profundidade_maxima_sentencas,diversidade_deps,n_oracoes_subordinadas,n_cc,n_conj,n_mark,n_discourse,n_entidades_total,diversidade_entidades,n_marcadores_exatos,n_marcadores_semanticos,similaridade_sentencas_argumentativas_media,similaridade_sentencas_argumentativas_min,similaridade_sentencas_argumentativas_max,similaridade_sentencas_argumentativas_std,similaridade_redacao_tema,nota_c3
12,6,2,3,1,22.17,12.17,3,1,1,1,44.33,24.33,0,133,95,0.7143,73,68,0.9315,24,33,8,9,18,6,2,18,9,1,15,8,6.17,4,11,27,14,3,4,10,0,1,1,3,0,0.7485,0.7238,0.7732,0.0349,0.9002,0
13,8,2,5,1,22.38,12.25,5,1,3,1,35.8,19.6,0,179,118,0.6592,98,80,0.8163,35,31,4,18,18,10,9,18,16,12,19,9,5.5,3,8,26,21,10,7,8,0,6,4,7,0,0.7616,0.6947,0.8118,0.0503,0.9078,0
14,8,2,4,2,21.38,13.0,4,1,2,1,42.75,26.0,0,171,129,0.7544,104,92,0.8846,27,50,9,11,21,9,4,26,7,16,42,5,5.36,4,9,29,14,4,5,5,0,5,2,11,0,0.6711,0.6066,0.7125,0.0566,0.811,0
15,5,1,3,1,58.8,34.6,4,1,2,1,73.5,43.25,0,294,202,0.6871,173,154,0.8902,48,64,33,23,38,16,6,35,13,9,18,8,11.0,10,12,29,35,6,11,8,0,9,2,8,0,0.7425,0.701,0.7839,0.0586,0.8184,0
16,3,1,1,1,94.33,53.67,3,1,1,1,94.33,53.67,0,283,179,0.6325,161,136,0.8447,36,70,17,22,46,6,12,42,14,9,28,9,10.33,9,12,28,24,13,13,11,0,6,3,10,0,0.0,0.0,0.0,0.0,0.8931,0
17,4,1,2,1,62.0,38.25,3,1,1,1,82.67,51.0,0,248,159,0.6411,153,126,0.8235,37,61,26,12,41,7,9,30,10,8,14,9,11.5,10,13,25,20,10,11,13,0,3,3,11,0,0.7671,0.7671,0.7671,0.0,0.7603,0
18,9,3,4,2,31.44,17.67,4,1,2,1,70.75,39.75,0,283,164,0.5795,159,129,0.8113,60,60,18,15,45,7,13,28,21,12,22,10,7.89,5,12,28,33,13,14,12,0,9,2,10,0,0.7876,0.7394,0.8314,0.0462,0.8354,0
19,7,1,5,1,35.86,19.86,6,1,4,1,41.83,23.17,0,251,148,0.5896,139,112,0.8058,33,77,16,14,42,12,12,29,11,2,26,4,7.12,2,10,30,13,12,18,4,0,1,1,6,0,0.7652,0.7487,0.7902,0.018,0.918,0
20,5,1,2,2,34.2,19.8,4,1,2,1,42.75,24.75,0,171,126,0.7368,99,95,0.9596,29,37,10,10,20,8,5,22,15,13,7,6,7.14,4,10,27,14,5,6,7,0,4,3,5,0,0.7622,0.7622,0.7622,0.0,0.9046,0
21,9,2,6,1,26.89,14.56,5,1,3,1,48.4,26.2,0,242,145,0.5992,131,109,0.8321,31,58,30,19,28,10,12,29,15,0,22,11,7.0,6,9,28,22,14,11,12,0,0,0,7,0,0.7908,0.7234,0.8395,0.0485,0.9122,0
22,9,2,6,1,23.78,13.56,4,1,2,1,53.5,30.5,0,214,139,0.6495,122,101,0.8279,20,54,25,15,34,8,14,32,6,2,25,3,6.44,5,10,27,8,15,16,3,0,2,2,7,0,0.6844,0.6028,0.7413,0.0578,0.8904,0
23,6,2,3,1,23.17,12.67,4,1,2,1,34.75,19.0,0,139,90,0.6475,76,55,0.7237,21,41,4,8,24,2,4,19,11,3,10,4,7.33,4,10,23,13,4,5,5,0,5,3,6,0,0.7556,0.7455,0.7656,0.0142,0.8566,0
24,6,1,4,1,29.83,15.33,5,1,3,1,35.8,18.4,0,179,107,0.5978,92,77,0.837,24,41,14,14,23,10,2,22,18,0,17,11,7.17,6,8,25,20,2,4,12,0,0,0,10,0,0.8022,0.7894,0.8123,0.0117,0.8902,0
25,4,4,0,0,63.75,35.25,1,1,0,0,255.0,141.0,0,255,131,0.5137,141,101,0.7163,24,76,17,18,55,4,13,26,11,1,17,10,9.25,7,12,23,13,13,15,12,0,2,1,9,0,0.0,0.0,0.0,0.0,0.7816,0
26,18,3,10,5,11.28,6.22,5,1,3,1,40.6,22.4,0,203,142,0.6995,112,100,0.8929,31,38,14,17,21,12,9,30,9,13,33,10,4.37,1,6,27,15,9,11,12,0,10,4,5,0,0.6014,0.4855,0.7098,0.0842,0.9046,0
27,4,1,2,1,49.25,27.75,4,1,2,1,49.25,27.75,0,197,127,0.6447,111,92,0.8288,30,50,13,15,28,12,7,23,10,0,17,11,11.0,9,14,27,21,7,8,11,0,0,0,12,0,0.8613,0.8613,0.8613,0.0,0.8365,0
28,14,5,6,3,15.29,7.93,4,1,2,1,53.5,27.75,0,214,140,0.6542,111,96,0.8649,31,48,14,18,29,18,3,27,13,5,30,13,5.14,4,7,29,16,3,3,13,0,2,1,9,0,0.6946,0.6528,0.7523,0.0458,0.9038,0
29,10,4,3,3,21.2,12.4,3,1,1,1,70.67,41.33,0,212,132,0.6226,124,109,0.879,30,69,9,9,32,13,5,29,8,8,26,4,6.5,4,10,27,16,7,5,4,0,2,1,5,0,0.7416,0.7284,0.7548,0.0186,0.9231,0
30,4,1,2,1,29.0,15.75,3,1,1,1,38.67,21.0,0,116,77,0.6638,63,51,0.8095,19,27,4,5,19,4,9,17,3,4,13,5,6.75,6,9,24,11,9,8,6,0,4,1,4,0,0.7626,0.7626,0.7626,0.0,0.8494,0
31,11,3,5,3,24.45,14.55,4,1,2,1,67.25,40.0,0,269,178,0.6617,160,141,0.8812,36,69,22,14,43,10,10,32,9,13,31,13,7.0,4,14,28,20,10,9,13,0,6,2,5,0,0.656,0.562,0.7477,0.0826,0.9207,0
32,6,2,2,2,32.5,19.33,3,1,1,1,65.0,38.67,0,195,124,0.6359,116,93,0.8017,23,55,20,14,30,8,4,25,7,3,8,5,8.17,5,11,27,13,4,7,8,0,4,1,4,0,0.6629,0.6629,0.6629,0.0,0.8451,0
33,5,5,0,0,30.0,14.4,1,1,0,0,150.0,72.0,0,150,91,0.6067,72,58,0.8056,20,36,5,5,19,13,10,17,8,9,14,8,6.4,6,7,28,9,10,8,8,0,4,3,3,0,0.0,0.0,0.0,0.0,0.8945,0
34,7,1,4,2,21.86,10.71,5,1,3,1,30.6,15.0,0,153,100,0.6536,75,66,0.88,26,28,10,10,18,7,5,11,22,6,14,11,7.0,4,9,28,13,5,5,12,0,4,3,5,0,0.6792,0.6122,0.7437,0.0658,0.8909,0
35,8,2,5,1,23.25,12.12,5,1,3,1,37.2,19.4,0,186,117,0.629,97,86,0.8866,24,40,12,10,34,9,8,23,10,11,16,3,6.71,4,12,27,13,8,7,6,0,6,2,12,0,0.5389,0.3596,0.7373,0.1769,0.8647,0
36,7,3,3,1,21.14,10.57,3,1,1,1,49.33,24.67,0,148,77,0.5203,74,49,0.6622,26,38,10,7,20,12,1,22,6,0,17,8,6.43,4,10,24,19,1,0,10,0,0,0,3,0,0.7932,0.7722,0.8142,0.0297,0.8757,0
37,3,3,0,0,82.0,48.0,1,1,0,0,246.0,144.0,0,246,149,0.6057,144,111,0.7708,33,64,19,16,43,8,6,34,11,4,9,8,8.83,1,17,27,20,6,6,10,0,4,2,6,0,0.0,0.0,0.0,0.0,0.7743,0
38,5,2,2,1,24.8,14.4,3,1,1,1,41.33,24.0,0,124,92,0.7419,72,64,0.8889,26,25,11,7,19,5,2,14,6,2,20,8,6.6,4,9,26,19,2,2,9,0,3,2,1,0,0.7639,0.7639,0.7639,0.0,0.7807,0
39,6,6,0,0,27.83,13.67,1,1,0,0,167.0,82.0,0,167,97,0.5808,82,68,0.8293,28,37,5,17,24,4,9,19,21,3,10,6,7.17,5,9,21,12,9,8,8,0,1,1,4,0,0.0,0.0,0.0,0.0,0.8434,0
40,5,1,3,1,39.8,22.0,4,1,2,1,49.75,27.5,0,199,139,0.6985,110,101,0.9182,24,61,8,13,35,6,11,24,6,5,22,9,7.17,2,12,28,13,12,12,8,0,2,2,6,0,0.7471,0.7037,0.7906,0.0615,0.9085,0
41,6,1,3,2,21.0,10.67,4,1,2,1,31.5,16.0,0,126,81,0.6429,64,55,0.8594,22,26,7,11,13,2,7,16,14,0,16,9,6.83,5,10,21,13,7,6,10,0,0,0,7,0,0.7408,0.7357,0.7459,0.0073,0.8134,0
42,15,1,9,5,16.67,9.87,5,1,3,1,50.0,29.6,0,250,156,0.624,148,127,0.8581,39,73,12,16,46,5,5,35,3,12,35,6,5.25,1,8,26,22,5,6,5,0,10,4,9,0,0.6662,0.6093,0.7259,0.0476,0.9184,0
43,6,1,4,1,37.0,18.33,6,1,4,1,37.0,18.33,0,222,110,0.4955,110,70,0.6364,31,25,9,16,19,21,12,26,25,23,9,15,8.2,2,16,25,18,12,12,14,0,23,4,5,0,0.8184,0.81,0.8337,0.0133,0.8206,0
44,5,1,3,1,52.2,29.6,5,1,3,1,52.2,29.6,0,261,166,0.636,148,130,0.8784,32,65,28,14,38,8,13,34,9,10,40,8,8.5,5,10,29,23,15,16,9,0,7,3,8,0,0.7601,0.7435,0.7766,0.0234,0.8944,0
45,10,2,4,4,21.1,11.0,4,1,2,1,52.75,27.5,0,211,136,0.6445,110,95,0.8636,29,55,16,13,30,7,11,32,15,2,19,4,5.55,3,9,26,17,10,12,4,0,0,0,5,0,0.7449,0.7053,0.7911,0.0432,0.8435,0
46,5,2,2,1,48.0,23.2,3,1,1,1,80.0,38.67,0,240,135,0.5625,116,89,0.7672,38,51,12,16,41,8,12,26,23,2,27,10,8.6,6,11,28,28,12,11,11,0,1,1,9,0,0.8243,0.8243,0.8243,0.0,0.8846,0
47,5,1,3,1,36.2,20.0,4,1,2,1,45.25,25.0,0,181,130,0.7182,100,97,0.97,30,49,3,6,33,3,10,25,12,5,20,5,8.0,6,11,27,14,10,11,5,0,3,2,4,0,0.7256,0.6605,0.7906,0.092,0.8967,0
48,8,2,4,2,24.38,14.12,4,1,2,1,48.75,28.25,0,195,135,0.6923,113,102,0.9027,30,49,15,11,35,6,5,21,8,9,23,8,6.11,3,9,25,20,5,4,9,0,7,3,3,0,0.6394,0.62,0.6581,0.019,0.8464,0
49,9,9,0,0,15.78,7.89,1,1,0,0,142.0,71.0,0,142,85,0.5986,71,61,0.8592,24,26,11,14,10,7,13,18,8,1,15,10,5.12,3,10,23,11,13,11,7,0,1,1,5,0,0.0,0.0,0.0,0.0,0.7527,0
50,9,2,4,3,30.56,17.44,4,1,2,1,68.75,39.25,0,275,160,0.5818,157,124,0.7898,22,76,18,27,56,15,4,32,11,7,48,7,6.5,4,9,27,12,4,7,5,0,4,2,6,0,0.6836,0.6246,0.7219,0.0519,0.8815,0
51,9,9,0,0,22.0,10.78,1,1,0,0,198.0,97.0,0,198,123,0.6212,97,84,0.866,27,48,7,21,26,14,10,28,4,4,19,14,5.2,3,7,26,12,10,8,12,0,2,2,8,0,0.0,0.0,0.0,0.0,0.9164,0
52,5,1,3,1,41.8,22.4,4,1,2,1,52.25,28.0,0,209,133,0.6364,112,95,0.8482,24,54,19,15,31,5,12,27,7,6,22,9,7.4,5,10,28,11,12,14,10,0,2,1,13,0,0.7478,0.7041,0.7914,0.0617,0.9319,0
53,5,2,1,2,34.2,20.8,3,1,1,1,57.0,34.67,0,171,117,0.6842,104,92,0.8846,23,47,15,7,33,11,6,18,2,1,20,8,7.6,5,10,25,17,6,6,10,0,1,1,3,0,0.0,0.0,0.0,0.0,0.9018,0
54,3,2,0,1,60.33,31.67,2,1,0,1,90.5,47.5,0,181,131,0.7238,95,91,0.9579,25,44,11,11,27,8,6,20,19,2,23,9,10.5,10,11,25,20,6,5,9,0,3,2,2,0,0.0,0.0,0.0,0.0,0.8887,0
55,8,3,4,1,25.62,15.12,4,1,2,1,51.25,30.25,0,205,134,0.6537,121,106,0.876,18,57,22,21,30,10,8,30,5,3,27,5,5.2,1,7,28,9,9,14,5,1,2,1,4,0,0.7693,0.7434,0.784,0.0225,0.8782,0
56,10,1,8,1,33.9,19.8,5,1,3,1,67.8,39.6,0,339,200,0.59,198,161,0.8131,45,95,33,10,56,13,15,52,7,4,43,12,7.56,5,10,27,25,15,16,10,0,2,1,7,0,0.7922,0.7533,0.864,0.039,0.9331,0
57,25,3,18,4,17.76,9.24,5,1,3,1,88.8,46.2,0,444,263,0.5923,231,203,0.8788,63,105,35,25,66,14,16,55,32,12,52,21,5.29,3,10,33,37,15,14,21,0,10,2,5,0,0.6298,0.4325,0.7574,0.0871,0.9178,0
58,8,2,4,2,23.62,12.62,4,1,2,1,47.25,25.25,0,189,104,0.5503,101,76,0.7525,28,58,7,8,32,3,9,30,7,0,21,8,6.25,4,9,23,12,10,7,8,0,0,0,5,0,0.8147,0.7333,0.8681,0.0716,0.8503,0
59,7,1,5,1,23.43,13.0,5,1,3,1,32.8,18.2,0,164,107,0.6524,91,77,0.8462,17,48,14,11,30,2,11,14,6,1,24,8,6.25,4,9,24,11,11,11,7,0,4,3,7,0,0.5125,0.2654,0.7408,0.2593,0.9036,0
60,14,2,5,7,17.14,9.43,4,1,2,1,60.0,33.0,0,240,143,0.5958,132,104,0.7879,38,57,18,15,32,10,14,33,18,0,47,9,5.79,3,9,27,19,13,13,9,0,0,0,10,0,0.7471,0.6981,0.7834,0.0388,0.8781,0
61,14,3,8,3,20.0,10.86,4,1,2,1,70.0,38.0,0,280,171,0.6107,152,128,0.8421,30,75,28,12,53,8,9,38,13,11,36,5,5.6,3,11,27,16,10,9,6,0,12,3,10,0,0.7208,0.6104,0.8007,0.0627,0.9064,0
62,6,1,4,1,30.5,17.5,4,1,2,1,45.75,26.25,0,183,125,0.6831,105,91,0.8667,22,46,19,18,19,12,9,27,5,0,20,8,5.43,4,7,23,16,9,10,8,0,0,0,5,0,0.7573,0.7297,0.7721,0.0239,0.9113,0
63,7,2,3,2,24.14,12.43,4,1,2,1,42.25,21.75,0,169,105,0.6213,87,74,0.8506,19,43,13,14,24,7,10,25,7,2,18,6,7.43,6,10,25,13,10,9,9,0,1,1,6,0,0.784,0.752,0.816,0.0452,0.8756,0
64,12,2,7,3,23.67,14.58,4,1,2,1,71.0,43.75,0,284,183,0.6444,175,154,0.88,33,73,33,10,49,6,7,38,8,13,44,13,5.85,3,11,30,21,8,9,12,0,8,4,8,0,0.7069,0.6685,0.7721,0.0398,0.9261,0
65,8,2,5,1,28.62,14.88,4,1,2,1,57.25,29.75,0,229,134,0.5852,119,98,0.8235,27,67,13,11,36,9,6,36,14,0,24,9,8.0,6,12,26,16,7,9,9,0,0,0,5,0,0.7755,0.747,0.8007,0.0243,0.893,0
66,11,2,6,3,17.64,10.45,4,1,2,1,48.5,28.75,0,194,132,0.6804,115,101,0.8783,25,56,24,12,25,9,9,15,4,0,38,16,4.75,3,6,22,17,10,13,18,0,0,0,7,0,0.7053,0.5542,0.8269,0.1289,0.9352,0
67,9,2,4,3,31.67,17.78,4,1,2,1,71.25,40.0,0,285,174,0.6105,160,136,0.85,29,64,32,33,41,15,13,33,18,2,29,5,7.0,4,12,26,14,13,16,5,0,3,1,16,0,0.7659,0.6558,0.8348,0.0964,0.8779,0
68,9,2,4,3,33.89,19.22,4,1,2,1,76.25,43.25,0,305,181,0.5934,173,148,0.8555,30,93,30,12,68,6,13,28,19,4,43,2,8.11,6,12,27,15,13,22,3,0,5,3,9,0,0.7534,0.7151,0.7851,0.0355,0.8866,0
69,16,3,8,5,21.75,12.94,4,1,2,1,87.0,51.75,0,348,226,0.6494,207,183,0.8841,51,91,34,21,63,13,9,36,19,5,43,8,6.06,3,11,28,27,11,12,9,0,4,2,11,0,0.7364,0.6448,0.8046,0.0592,0.8414,0
70,5,5,0,0,20.2,11.8,1,1,0,0,101.0,59.0,0,101,81,0.802,59,55,0.9322,17,19,11,8,10,2,5,13,6,2,13,8,5.17,4,6,21,13,5,5,8,0,1,1,2,0,0.0,0.0,0.0,0.0,0.8455,0
71,11,2,6,3,29.82,17.91,4,1,2,1,82.0,49.25,0,328,202,0.6159,197,163,0.8274,34,85,29,14,66,4,6,40,10,32,47,10,7.18,4,10,29,21,8,6,10,0,17,3,11,0,0.763,0.6837,0.8354,0.0625,0.9367,0
72,11,4,5,2,38.36,21.73,4,1,2,1,105.5,59.75,0,422,240,0.5687,239,196,0.8201,36,138,37,22,95,12,17,42,9,6,42,12,7.42,5,10,28,23,18,25,14,0,2,1,5,0,0.8156,0.7139,0.8597,0.0684,0.886,0
73,9,1,6,2,20.78,12.33,5,1,3,1,37.4,22.2,0,187,130,0.6952,111,100,0.9009,31,55,11,7,28,7,10,23,9,0,22,6,6.67,4,9,27,19,11,12,6,0,1,1,4,0,0.7395,0.6954,0.7889,0.0407,0.8582,0
74,7,3,2,2,42.71,20.71,4,1,2,1,74.75,36.25,0,299,148,0.495,145,109,0.7517,44,54,25,28,34,21,18,28,28,0,57,18,6.29,4,10,27,24,18,29,18,0,0,0,7,0,0.7688,0.7688,0.7688,0.0,0.9178,0
75,4,1,2,1,55.25,29.0,3,1,1,1,73.67,38.67,0,221,134,0.6063,116,94,0.8103,33,55,9,11,34,6,18,27,13,1,22,14,7.5,6,8,25,17,19,18,14,0,0,0,6,0,0.879,0.879,0.879,0.0,0.9032,0
76,6,1,4,1,45.33,24.5,4,1,2,1,68.0,36.75,0,272,155,0.5699,147,116,0.7891,35,76,14,10,47,6,10,36,17,9,31,13,9.0,6,13,29,21,10,9,15,0,5,2,5,0,0.8181,0.7462,0.8544,0.0623,0.9321,0
77,5,1,3,1,54.0,26.6,4,1,2,1,67.5,33.25,0,270,152,0.563,133,112,0.8421,46,63,10,15,27,15,17,38,22,2,21,14,7.8,5,10,27,23,16,21,13,0,1,1,9,0,0.8797,0.8253,0.934,0.0768,0.8634,0
78,11,4,6,1,21.0,12.09,4,1,2,1,57.75,33.25,0,231,142,0.6147,133,114,0.8571,20,62,29,11,36,12,9,26,13,6,28,6,5.55,4,8,25,11,9,11,6,0,4,3,4,0,0.7047,0.6826,0.7513,0.0271,0.9039,0
79,7,1,5,1,31.43,17.71,4,1,2,1,55.0,31.0,0,220,144,0.6545,124,110,0.8871,21,64,23,10,46,7,7,25,3,6,28,9,7.29,5,10,27,13,8,7,9,0,4,2,12,0,0.7345,0.6641,0.8055,0.0581,0.9238,0
80,14,4,8,2,20.71,11.21,6,1,4,1,48.33,26.17,0,290,183,0.631,157,138,0.879,47,70,19,18,45,14,12,28,16,11,34,11,5.93,1,10,30,24,12,13,12,1,5,2,6,0,0.7746,0.7305,0.8118,0.0346,0.9473,0
81,8,8,0,0,29.0,16.25,1,1,0,0,232.0,130.0,0,232,164,0.7069,130,125,0.9615,38,64,19,5,34,10,13,31,9,4,53,11,6.88,4,11,27,21,13,17,12,0,4,3,4,0,0.0,0.0,0.0,0.0,0.9229,0
82,4,4,0,0,28.75,15.0,1,1,0,0,115.0,60.0,0,115,77,0.6696,60,53,0.8833,19,25,3,9,15,8,6,18,8,0,7,4,6.75,5,9,25,9,6,8,5,0,0,0,2,0,0.0,0.0,0.0,0.0,0.8848,0
83,8,1,5,2,25.0,13.75,4,1,2,1,50.0,27.5,0,200,130,0.65,110,91,0.8273,28,44,12,20,28,11,11,22,11,4,21,9,6.86,5,10,22,18,9,11,9,0,8,4,3,0,0.6768,0.6078,0.7799,0.0792,0.7891,40
84,5,1,3,1,24.4,13.2,4,1,2,1,30.5,16.5,0,122,77,0.6311,66,58,0.8788,15,31,8,7,21,5,8,14,4,3,16,7,6.8,4,11,25,9,9,10,6,0,1,1,4,0,0.5729,0.5275,0.6182,0.0641,0.8211,40
85,11,2,6,3,28.18,15.73,5,1,3,1,62.0,34.6,0,310,178,0.5742,173,141,0.815,41,82,22,15,51,12,14,40,19,7,30,8,6.5,4,11,29,18,14,14,11,0,7,3,8,0,0.7675,0.717,0.8355,0.0451,0.8397,40
86,5,1,3,1,46.8,28.0,5,1,3,1,46.8,28.0,0,234,153,0.6538,140,118,0.8429,30,57,22,23,38,4,4,32,7,14,25,4,7.5,4,9,26,22,6,4,6,0,5,3,8,0,0.8012,0.8004,0.8019,0.001,0.8888,40
87,7,2,2,3,23.57,13.43,3,1,1,1,55.0,31.33,0,165,114,0.6909,94,84,0.8936,24,45,10,12,27,4,3,20,5,9,20,10,6.0,3,9,25,16,3,4,11,0,5,3,4,0,0.6598,0.6598,0.6598,0.0,0.8995,40
88,11,3,6,2,16.0,9.09,5,1,3,1,35.2,20.0,0,176,121,0.6875,100,86,0.86,21,45,16,8,27,10,1,18,12,7,31,9,5.64,3,9,27,12,1,7,10,0,9,4,2,0,0.672,0.6197,0.7379,0.0598,0.916,40
89,11,3,7,1,21.18,13.09,4,1,2,1,58.25,36.0,0,233,157,0.6738,144,123,0.8542,33,57,33,15,33,9,6,33,4,5,24,5,6.0,3,9,27,18,6,11,5,0,2,1,7,0,0.6028,0.5487,0.6649,0.0463,0.8669,40
90,9,2,4,3,15.89,8.56,3,1,1,1,47.67,25.67,0,143,103,0.7203,77,72,0.9351,18,37,9,7,21,9,9,22,6,1,24,5,5.1,3,8,24,8,9,12,4,0,2,2,3,0,0.6799,0.6466,0.7402,0.0523,0.8849,40
91,8,3,3,2,20.75,12.38,3,1,1,1,55.33,33.0,0,166,120,0.7229,99,91,0.9192,25,45,9,9,29,4,5,19,6,12,27,7,5.88,5,8,28,15,5,6,8,0,8,4,6,0,0.6685,0.6352,0.7019,0.0472,0.874,40
92,8,3,2,3,24.62,14.12,4,1,2,1,49.25,28.25,0,197,119,0.6041,113,87,0.7699,24,51,18,8,36,5,9,25,7,10,30,4,6.25,5,8,28,11,9,10,4,0,7,3,7,0,0.7701,0.7701,0.7701,0.0,0.9112,40
93,11,4,3,4,15.55,9.64,3,1,1,1,57.0,35.33,0,171,119,0.6959,106,93,0.8774,34,38,11,11,21,10,9,22,13,4,17,2,5.42,2,10,23,16,9,10,3,0,7,2,7,0,0.6727,0.6033,0.7421,0.0982,0.841,40
94,11,3,6,2,21.73,13.0,4,1,2,1,59.75,35.75,0,239,139,0.5816,143,104,0.7273,35,69,22,15,39,3,9,30,7,4,24,6,6.0,4,9,27,15,9,10,8,0,1,1,11,0,0.6192,0.502,0.6685,0.0706,0.8404,40
95,43,1,41,1,9.0,5.12,30,1,28,1,12.9,7.33,0,387,230,0.5943,220,183,0.8318,43,104,31,23,66,9,18,51,12,20,55,8,6.32,2,10,30,16,19,20,9,0,11,4,14,2,0.5116,0.1283,0.7841,0.1257,0.9245,40
96,8,1,6,1,31.25,18.38,5,1,3,1,50.0,29.4,0,250,156,0.624,147,120,0.8163,37,76,16,3,44,4,16,34,7,7,24,7,6.8,4,9,29,23,16,20,7,0,5,3,7,0,0.6786,0.6264,0.7039,0.0319,0.8782,40
97,10,2,7,1,23.3,12.0,5,1,3,1,46.6,24.0,0,233,140,0.6009,120,100,0.8333,49,37,9,21,18,14,10,24,31,2,41,18,6.3,4,8,27,32,10,9,15,0,0,0,11,0,0.7376,0.6976,0.7889,0.0404,0.8331,40
